date,year,month_num,repatriations,encounters,phe_covid,title42,border_national_emergency,mpp_active,clp_rule_active,mayorkas_priorities_active,title42_uac_exempt,repat_to_enc_ratio,title42_share,lag_1_ratio,rolling_3mo_ratio,administration_Trump
2019-10-01,2019,10,43580,61159,0,0,1,1,0,0,0,0.7125688778429994,0,,,True
2019-11-01,2019,11,43190,57524,0,0,1,1,0,0,0,0.7508170502746679,0,0.7125688778429994,,True
2019-12-01,2019,12,41990,56186,0,0,1,1,0,0,0,0.7473391948172142,0,0.7508170502746679,0.7369083743116271,True
2020-01-01,2020,1,51360,52254,1,0,1,1,0,0,0,0.9828912619129636,0,0.7473391948172142,0.827015835668282,True
2020-02-01,2020,2,46120,54884,1,0,1,1,0,0,0,0.84031776109613,0,0.9828912619129636,0.8568494059421026,True
2020-03-01,2020,3,44920,51869,1,1,1,1,0,0,0,0.8660278779232297,1,0.84031776109613,0.8964123003107746,True
2020-04-01,2020,4,47060,29743,1,1,1,1,0,0,0,1.582221026796221,1,0.8660278779232297,1.0961888886051936,True
2020-05-01,2020,5,48730,39877,1,1,1,1,0,0,0,1.2220076735963086,1,1.582221026796221,1.2234188594385864,True
2020-06-01,2020,6,50560,50086,1,1,1,1,0,0,0,1.0094637223974763,1,1.2220076735963086,1.2712308075966685,True
2020-07-01,2020,7,36960,53672,1,1,1,1,0,0,0,0.6886272171709644,1,1.0094637223974763,0.9733662043882497,True
2020-08-01,2020,8,42550,65707,1,1,1,1,0,0,0,0.6475717960034699,1,0.6886272171709644,0.7818875785239703,True
2020-09-01,2020,9,51520,73861,1,1,1,1,0,0,0,0.6975264347896725,1,0.6475717960034699,0.6779084826547023,True
2020-10-01,2020,10,53970,90585,1,1,1,1,0,0,0,0.5957940056300712,1,0.6975264347896725,0.6469640788077379,True
2020-11-01,2020,11,64120,89072,1,1,1,1,0,0,0,0.7198670738279145,1,0.5957940056300712,0.6710625047492194,True
2020-12-01,2020,12,70510,92746,1,1,1,1,0,0,0,0.760248420417053,1,0.7198670738279145,0.6919698332916795,True
2021-01-01,2021,1,91120,95276,1,1,1,1,0,0,0,0.9563793610143163,1,0.760248420417053,0.8121649517530946,True
2021-02-01,2021,2,85520,115559,1,1,1,0,0,0,0,0.7400548637492537,1,0.9563793610143163,0.8188942150602077,False
2021-03-01,2021,3,84920,192025,1,1,0,0,0,0,0,0.44223408410363235,1,0.7400548637492537,0.7128894362890675,False
2021-04-01,2021,4,87320,196190,1,1,0,0,0,0,0,0.44507875019114124,1,0.44223408410363235,0.5424558993480092,False
2021-05-01,2021,5,92010,198459,1,1,0,0,0,0,0,0.46362220912127944,1,0.44507875019114124,0.4503116811386843,False
2021-06-01,2021,6,131050,207823,1,1,0,0,0,0,0,0.630584680232698,1,0.46362220912127944,0.5130952131817063,False
